,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,,,,,,,,,,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0
2,,,,,,,,,,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0
3,,,,,,,,,,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0
4,,,,,,,,,,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1001.0
5,,,,,,,,,,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1001.0
6,,,,,,,,,,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1000.0
7,,,,,,,,,,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1001.0
8,,,,,,,,,,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1002.0
9,,,,,,,,,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1004.0
10,,,,,,,,,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1008.0
11,,,,,,,,,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1012.0
12,,,,,,,,,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0,1014.0
