,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,,,,,,,,,,1016.0,1012.0,1012.0,1013.0,1014.0,1014.0,1013.0
2,,,,,,,,,,1011.0,1010.0,1010.0,1011.0,1011.0,1012.0,1011.0
3,,,,,,,,,,1009.0,1008.0,1008.0,1009.0,1010.0,1011.0,1009.0
4,,,,,,,,,,1006.0,1006.0,1006.0,1005.0,1007.0,1007.0,1005.0
5,,,,,,,,,,1002.0,1005.0,1004.0,1003.0,1005.0,1005.0,1004.0
6,,,,,,,,,,1003.0,1003.0,1003.0,1002.0,1003.0,1003.0,1004.0
7,,,,,,,,,,1003.0,1003.0,1003.0,1003.0,1004.0,1004.0,1004.0
8,,,,,,,,,,1004.0,1003.0,1004.0,1005.0,1005.0,1006.0,1005.0
9,,,,,,,,,1009.0,1006.0,1006.0,1006.0,1006.0,1007.0,1007.0,1007.0
10,,,,,,,,,1010.0,1007.0,1009.0,1010.0,1008.0,1010.0,1010.0,1009.0
11,,,,,,,,,1010.0,1010.0,1011.0,1011.0,1012.0,1012.0,1011.0,1012.0
12,,,,,,,,,1014.0,1010.0,1012.0,1012.0,1013.0,1013.0,1013.0,1013.0
